head,relation,tail
Elon Musk,founded,Tesla Inc.
Elon Musk,founded,SpaceX
Sam Altman,founded,OpenAI
Sam Altman,is CEO of,OpenAI
Elon Musk,was early investor in,OpenAI
Elon Musk,was born in,South Africa
Tesla Inc.,headquartered in,Austin
Tesla Inc.,manufactures,Electric Vehicles
SpaceX,developed,Falcon 9
SpaceX,developed,Starship
SpaceX,headquartered in,Hawthorne
Falcon 9,is a,Rocket
Starship,is a,Spacecraft
Microsoft,invested in,OpenAI
Satya Nadella,is CEO of,Microsoft
Bill Gates,founded,Microsoft
Apple Inc.,headquartered in,Cupertino
Apple Inc.,manufactures,iPhone
Steve Jobs,founded,Apple Inc.
Tim Cook,is CEO of,Apple Inc.
Google,developed,Android
Sundar Pichai,is CEO of,Google
Larry Page,founded,Google
Sergey Brin,founded,Google
Meta Platforms,owns,Facebook
Meta Platforms,owns,Instagram
Meta Platforms,owns,WhatsApp
Mark Zuckerberg,founded,Facebook
Mark Zuckerberg,is CEO of,Meta Platforms
Elon Musk,acquired,Twitter
Elon Musk,renamed,Twitter
Twitter,is now called,X
